Country,"Amount Spent (USD)",Reach,"Result Type",Results,"Results [On Ad]","Reporting Starts","Reporting Ends"
TJ,0,0,,,,2017-02-28,2019-01-10
GD,0,0,,,,2017-02-28,2019-01-10
MD,0.069966447277914,0,,,,2017-02-28,2019-01-10
LV,0.099952067539877,0,,,,2017-02-28,2019-01-10
NA,0.029985620261963,0,,,,2017-02-28,2019-01-10
GR,0.059971240523926,0,,,,2017-02-28,2019-01-10
SK,0,0,,,,2017-02-28,2019-01-10
SI,0.0099952067539877,0,,,,2017-02-28,2019-01-10
CZ,0.0099952067539877,0,,,,2017-02-28,2019-01-10
PT,0.0099952067539877,0,,,,2017-02-28,2019-01-10
RS,0.19990413507975,0,,,,2017-02-28,2019-01-10
TW,0,0,,,,2017-02-28,2019-01-10
PL,0.029985620261963,0,,,,2017-02-28,2019-01-10
HR,0.039980827015951,0,,,,2017-02-28,2019-01-10
KW,0,0,,,,2017-02-28,2019-01-10
PH,0.08995686078589,0,,,,2017-02-28,2019-01-10
RU,0.0099952067539877,0,,,,2017-02-28,2019-01-10
TH,0.019990413507975,0,,,,2017-02-28,2019-01-10
JO,0.13993289455583,0,,,,2017-02-28,2019-01-10
TT,0.019990413507975,0,,,,2017-02-28,2019-01-10
PA,0,0,,,,2017-02-28,2019-01-10
BE,0,0,,,,2017-02-28,2019-01-10
DK,0.019990413507975,0,,,,2017-02-28,2019-01-10
DO,0.049976033769939,0,,,,2017-02-28,2019-01-10
IL,0.0099952067539877,0,,,,2017-02-28,2019-01-10
AE,0.059971240523926,0,,,,2017-02-28,2019-01-10
ZA,0.099952067539877,0,,,,2017-02-28,2019-01-10
SA,0.069966447277914,0,,,,2017-02-28,2019-01-10
MY,0.099952067539877,0,,,,2017-02-28,2019-01-10
IT,0.029985620261963,0,,,,2017-02-28,2019-01-10
DE,0.019990413507975,0,,,,2017-02-28,2019-01-10
CN,0.019990413507975,0,,,,2017-02-28,2019-01-10
LT,0,0,,,,2017-02-28,2019-01-10
CY,0.10994727429387,0,,,,2017-02-28,2019-01-10
KZ,0.019990413507975,0,,,,2017-02-28,2019-01-10
OM,0.019990413507975,0,,,,2017-02-28,2019-01-10
BW,0.069966447277914,0,,,,2017-02-28,2019-01-10
CM,0.26987058235767,0,,,,2017-02-28,2019-01-10
TZ,0.10994727429387,0,,,,2017-02-28,2019-01-10
CI,0.16991851481779,0,,,,2017-02-28,2019-01-10
ZW,0.22988975534172,0,,,,2017-02-28,2019-01-10
BB,0.019990413507975,0,,,,2017-02-28,2019-01-10
BN,0,0,,,,2017-02-28,2019-01-10
GE,0.12993768780184,0,"Website Registrations Completed",1,,2017-02-28,2019-01-10
SN,0.13993289455583,0,"Website Registrations Completed",1,,2017-02-28,2019-01-10
ME,0.0099952067539877,0,,,,2017-02-28,2019-01-10
AL,0.22988975534172,0,,,,2017-02-28,2019-01-10
EE,0.019990413507975,0,,,,2017-02-28,2019-01-10
MV,0.0099952067539877,0,,,,2017-02-28,2019-01-10
JM,0.0099952067539877,0,,,,2017-02-28,2019-01-10
BS,0.0099952067539877,0,,,,2017-02-28,2019-01-10
MT,0.029985620261963,0,,,,2017-02-28,2019-01-10
UA,0.21989454858773,0,,,,2017-02-28,2019-01-10
MU,0.069966447277914,0,,,,2017-02-28,2019-01-10
VN,0.049976033769939,0,,,,2017-02-28,2019-01-10
PS,0.069966447277914,0,,,,2017-02-28,2019-01-10
PR,0,0,,,,2017-02-28,2019-01-10
NI,0.029985620261963,0,,,,2017-02-28,2019-01-10
HN,0.049976033769939,0,,,,2017-02-28,2019-01-10
QA,0.019990413507975,0,,,,2017-02-28,2019-01-10
GT,0.039980827015951,0,,,,2017-02-28,2019-01-10
RO,0.13993289455583,0,,,,2017-02-28,2019-01-10
EH,0.0099952067539877,0,,,,2017-02-28,2019-01-10
