,fb_shares,site_link,site_link_title
0,188,https://omni.co/blog/omni-launches-in-new-york-and-los-angeles/,"Hello, New York City, and Los Angeles!"
1,127,https://omni.co/,Omni | Rent Items Instantly
2,106,https://omni.co/blog/,Omni | Live Lighter Blog
3,60,https://omni.co/s,Omni | Rent Items Instantly
4,60,https://omni.co/s/?metro=los_angeles,Omni | Rent Items Instantly
5,60,https://omni.co/s/?metro=new_york,Omni | Rent Items Instantly
