,fb_shares,site_link,site_link_title
0,288,https://buzzghana.com/,https://buzzghana.com/
1,227,https://buzzghana.com/latest-global-school-rankings-ghana-crashes-to-the-bottom/,Latest Global School Rankings: Ghana Crashes To The Bottom
2,204,https://buzzghana.com/funny-jokes-adults/,160 Funny Jokes For Adults
3,105,https://buzzghana.com/beautiful-ghana-pictures/,20 Most Beautiful Ghana Pictures You've Never Seen
4,93,https://buzzghana.com/10-places-can-find-internet-fraudsters-sakawa-boys-ghana/,Sakawa Boys: 10 Parts of Ghana Currently Colonized By Them
5,91,https://buzzghana.com/funny-random-things-say/,71 Funny Random Things To Say To People
